URL	chrom://isq7ci2006004/ChromeleonLocal/Instrument Data/Aspuru-Guzik/Stanley/2024_12_16_005c-H.seq/177.smp/MS_F1_[266.1-266.3].channel/MS_F1_[266.1-266.3].chm
Channel	MS_F1_[266.1-266.3]

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_12_16_005c-H
Name	PS_Dimer_conc
Number	5
Position	3
Comment	
Processing Method	Basic Quantitative
Instrument Method	2024_12_16_005c-H - Copy
Type	Unknown
Status	Finished
Inject Time	12/16/2024 3:19:27 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	2.500672
Time Max. (min)	6.996815
Data Points	1323
Detector	MSDevice
Generating Data System	Chromeleon 7.3 Build 60919 (5efd55c28726aa174740e3ad3b435409b51aa6a1)
Exporting Data System	Chromeleon 7.3.0.0
Operator	aspuruguzik
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	7175986.500000
Channel	MS_F1_[266.1-266.3]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406097

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.466560	0.204	0.000000
3.469962	0.2041	0.000000
3.473362	0.204	0.000000
3.476763	0.2041	0.000000
3.480165	0.2041	0.000000
3.483565	0.204	0.000000
3.486967	0.2041	0.000000
3.490367	0.204	0.000000
3.493768	0.2041	0.000000
3.497170	0.2041	16837.560547
3.500570	0.204	13595.161133
3.503972	0.2041	0.000000
3.507373	0.2041	0.000000
3.510773	0.204	0.000000
3.514175	0.2041	0.000000
3.517575	0.204	0.000000
3.520977	0.2041	0.000000
3.524378	0.2041	0.000000
3.527778	0.204	0.000000
3.531180	0.2041	0.000000
3.534580	0.204	0.000000
3.537982	0.2041	0.000000
3.541383	0.2041	5608.484863
3.544783	0.204	0.000000
3.548185	0.2041	26885.785156
3.551585	0.204	0.000000
3.554987	0.2041	0.000000
3.558388	0.2041	0.000000
3.561788	0.204	0.000000
3.565190	0.2041	0.000000
3.568590	0.204	0.000000
3.571992	0.2041	0.000000
3.575393	0.2041	0.000000
3.578793	0.204	34603.933594
3.582195	0.2041	0.000000
3.585597	0.2041	0.000000
3.588997	0.204	0.000000
3.592398	0.2041	0.000000
3.595798	0.204	0.000000
3.599200	0.2041	0.000000
3.602602	0.2041	0.000000
3.606002	0.204	0.000000
3.609403	0.2041	27868.240234
3.612803	0.204	0.000000
3.616205	0.2041	0.000000
3.619607	0.2041	0.000000
3.623007	0.204	0.000000
3.626408	0.2041	0.000000
3.629808	0.204	0.000000
3.633210	0.2041	0.000000
3.636612	0.2041	0.000000
3.640012	0.204	0.000000
3.643413	0.2041	0.000000
3.646815	0.2041	12323.534180
3.650215	0.204	30613.500000
3.653617	0.2041	0.000000
3.657017	0.204	0.000000
3.660418	0.2041	0.000000
3.663820	0.2041	0.000000
3.667220	0.204	31415.546875
3.670622	0.2041	24193.945313
3.674022	0.204	0.000000
3.677423	0.2041	0.000000
3.680825	0.2041	0.000000
3.684225	0.204	9279.197266
3.687627	0.2041	0.000000
3.691027	0.204	0.000000
3.694428	0.2041	0.000000
3.697830	0.2041	0.000000
3.701230	0.204	0.000000
3.704632	0.2041	0.000000
3.708032	0.204	0.000000
3.711433	0.2041	0.000000
3.714835	0.2041	0.000000
3.718235	0.204	31160.277344
3.721637	0.2041	26879.474609
3.725038	0.2041	0.000000
3.728438	0.204	0.000000
3.731840	0.2041	0.000000
3.735240	0.204	0.000000
3.738642	0.2041	0.000000
3.742043	0.2041	0.000000
3.745443	0.204	79666.968750
3.748845	0.2041	137307.015625
3.752245	0.204	0.000000
3.755647	0.2041	461086.531250
3.759048	0.2041	822201.187500
3.762448	0.204	1416844.000000
3.765850	0.2041	2232996.000000
3.769250	0.204	3287581.500000
3.772652	0.2041	4482608.500000
3.776053	0.2041	5921733.000000
3.779453	0.204	6918352.000000
3.782855	0.2041	7175986.500000
3.786257	0.2041	7158298.000000
3.789657	0.204	6565311.000000
3.793058	0.2041	5034283.500000
3.796458	0.204	3857121.750000
3.799860	0.2041	2843465.500000
3.803262	0.2041	1834200.750000
3.806662	0.204	1082722.000000
3.810063	0.2041	677956.000000
3.813463	0.204	453626.937500
3.816865	0.2041	343620.718750
3.820267	0.2041	219144.406250
3.823667	0.204	229616.578125
3.827068	0.2041	171922.203125
3.830468	0.204	0.000000
3.833870	0.2041	0.000000
3.837272	0.2041	107198.265625
3.840672	0.204	0.000000
3.844073	0.2041	66810.093750
3.847473	0.204	0.000000
3.850875	0.2041	0.000000
3.854277	0.2041	0.000000
3.857677	0.204	60302.464844
3.861078	0.2041	0.000000
3.864480	0.2041	0.000000
3.867880	0.204	63071.328125
3.871282	0.2041	0.000000
3.874682	0.204	0.000000
3.878083	0.2041	0.000000
3.881485	0.2041	0.000000
3.884885	0.204	0.000000
3.888287	0.2041	0.000000
3.891687	0.204	0.000000
3.895088	0.2041	0.000000
3.898490	0.2041	0.000000
3.901890	0.204	0.000000
3.905292	0.2041	0.000000
3.908692	0.204	0.000000
3.912093	0.2041	0.000000
3.915495	0.2041	0.000000
3.918895	0.204	60258.917969
3.922297	0.2041	0.000000
3.925698	0.2041	0.000000
3.929098	0.204	0.000000
3.932500	0.2041	0.000000
3.935900	0.204	0.000000
3.939302	0.2041	0.000000
3.942703	0.2041	0.000000
3.946103	0.204	0.000000
3.949505	0.2041	0.000000
3.952905	0.204	0.000000
3.956307	0.2041	0.000000
3.959708	0.2041	0.000000
3.963108	0.204	0.000000
3.966510	0.2041	0.000000
3.969910	0.204	0.000000
3.973312	0.2041	0.000000
3.976713	0.2041	0.000000
3.980113	0.204	0.000000
3.983515	0.2041	0.000000
3.986915	0.204	0.000000
3.990317	0.2041	0.000000
3.993718	0.2041	37752.039063
3.997118	0.204	0.000000
4.000520	0.2041	0.000000
4.003922	0.2041	0.000000
4.007322	0.204	0.000000
4.010723	0.2041	0.000000
4.014123	0.204	0.000000
4.017525	0.2041	0.000000
4.020927	0.2041	0.000000
4.024327	0.204	0.000000
4.027728	0.2041	0.000000
4.031128	0.204	0.000000
4.034530	0.2041	0.000000
4.037932	0.2041	0.000000
4.041332	0.204	0.000000
4.044733	0.2041	31954.361328
4.048133	0.204	0.000000
4.051535	0.2041	0.000000
4.054937	0.2041	0.000000
4.058337	0.204	0.000000
4.061738	0.2041	0.000000
4.065140	0.2041	0.000000
4.068540	0.204	0.000000
4.071942	0.2041	0.000000
4.075342	0.204	0.000000
4.078743	0.2041	0.000000
4.082145	0.2041	40921.316406
4.085545	0.204	0.000000
4.088947	0.2041	0.000000
4.092347	0.204	0.000000
4.095748	0.2041	0.000000
4.099150	0.2041	0.000000
4.102550	0.204	36364.593750
4.105952	0.2041	0.000000
4.109352	0.204	0.000000
4.112753	0.2041	0.000000
4.116155	0.2041	0.000000
4.119555	0.204	0.000000
4.122957	0.2041	0.000000
