URL	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_12_16_005c-H
Name	PS_Dimer_conc
Number	5
Position	3
Comment	
Processing Method	Basic Quantitative
Instrument Method	2024_12_16_005c-H - Copy
Type	Unknown
Status	Finished
Inject Time	12/16/2024 3:19:27 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	2.500672
Time Max. (min)	6.996815
Data Points	1323
Detector	MSDevice
Generating Data System	Chromeleon 7.3 Build 60919 (5efd55c28726aa174740e3ad3b435409b51aa6a1)
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1228461.495667
Signal Max.	32525129.015537
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406097

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.248895	0.204	6121224.907195
3.252297	0.2041	6249683.441049
3.255697	0.204	6374997.102371
3.259098	0.2041	6188829.511825
3.262500	0.2041	6143782.711762
3.265900	0.204	6269354.224551
3.269302	0.2041	6312262.648318
3.272702	0.204	6365802.577843
3.276103	0.2041	6386029.486362
3.279505	0.2041	6430567.197495
3.282905	0.204	6347370.320463
3.286307	0.2041	6217842.673713
3.289707	0.204	6265106.122150
3.293108	0.2041	6297155.225899
3.296510	0.2041	6247470.470102
3.299910	0.204	6169929.125045
3.303312	0.2041	6155879.133047
3.306713	0.2041	6322378.003104
3.310113	0.204	6288316.809749
3.313515	0.2041	6247666.793522
3.316915	0.204	6449947.864981
3.320317	0.2041	6454583.705557
3.323718	0.2041	6560977.239722
3.327118	0.204	6563435.767925
3.330520	0.2041	6333415.288992
3.333920	0.204	6383029.023478
3.337322	0.2041	6338976.760129
3.340723	0.2041	6290861.983238
3.344123	0.204	6371447.737639
3.347525	0.2041	6278393.476516
3.350925	0.204	6395723.473593
3.354327	0.2041	6511761.714880
3.357728	0.2041	6465739.718402
3.361128	0.204	6488568.462732
3.364530	0.2041	6352858.036241
3.367932	0.2041	6256597.389180
3.371332	0.204	6424871.428566
3.374733	0.2041	6504366.234412
3.378133	0.204	6385034.216504
3.381535	0.2041	6362007.776179
3.384937	0.2041	6345033.280829
3.388337	0.204	6371875.488236
3.391738	0.2041	6506446.135456
3.395138	0.204	6470377.565627
3.398540	0.2041	6496926.313452
3.401942	0.2041	6565208.197085
3.405342	0.204	6422616.659434
3.408743	0.2041	6434923.182443
3.412143	0.204	6472857.035249
3.415545	0.2041	6421558.939588
3.418947	0.2041	6393313.906054
3.422347	0.204	6403825.570957
3.425748	0.2041	6423571.790288
3.429148	0.204	6345500.182752
3.432550	0.2041	6342761.102817
3.435952	0.2041	6436824.481646
3.439352	0.204	6493152.774803
3.442753	0.2041	6497789.592261
3.446155	0.2041	6547807.887718
3.449555	0.204	6637360.552486
3.452957	0.2041	6636643.783738
3.456357	0.204	6465860.971540
3.459758	0.2041	6429715.973764
3.463160	0.2041	6570900.729480
3.466560	0.204	6519823.680637
3.469962	0.2041	6464876.266035
3.473362	0.204	6532119.263031
3.476763	0.2041	6637267.527429
3.480165	0.2041	6660365.521809
3.483565	0.204	6590925.618993
3.486967	0.2041	6444023.455971
3.490367	0.204	6428715.128094
3.493768	0.2041	6560576.883140
3.497170	0.2041	6600740.103160
3.500570	0.204	6667257.024329
3.503972	0.2041	6675893.910577
3.507373	0.2041	6680788.651333
3.510773	0.204	6690605.197730
3.514175	0.2041	6575454.555051
3.517575	0.204	6707226.585404
3.520977	0.2041	6546547.572843
3.524378	0.2041	6190993.489975
3.527778	0.204	6521350.696143
3.531180	0.2041	6783190.202117
3.534580	0.204	6754893.386515
3.537982	0.2041	6788525.059460
3.541383	0.2041	6573612.490507
3.544783	0.204	6612807.250473
3.548185	0.2041	6825533.168347
3.551585	0.204	6789655.715572
3.554987	0.2041	6855860.160775
3.558388	0.2041	6791992.468139
3.561788	0.204	6534174.727963
3.565190	0.2041	6668170.353626
3.568590	0.204	6782932.022207
3.571992	0.2041	6547537.924718
3.575393	0.2041	6593215.484787
3.578793	0.204	6760200.170220
3.582195	0.2041	6770460.537294
3.585597	0.2041	6685846.274910
3.588997	0.204	6657619.521731
3.592398	0.2041	6793129.277239
3.595798	0.204	6816254.200937
3.599200	0.2041	6658495.317791
3.602602	0.2041	6551390.246662
3.606002	0.204	6568215.306244
3.609403	0.2041	6639380.167850
3.612803	0.204	6682187.018927
3.616205	0.2041	6681694.346756
3.619607	0.2041	6648028.332613
3.623007	0.204	6643932.049484
3.626408	0.2041	6866996.218294
3.629808	0.204	6982982.570187
3.633210	0.2041	6898890.352416
3.636612	0.2041	6783514.721820
3.640012	0.204	6685605.809830
3.643413	0.2041	6743982.605980
3.646815	0.2041	6859465.041956
3.650215	0.204	6882556.498637
3.653617	0.2041	6859819.522716
3.657017	0.204	6888368.265872
3.660418	0.2041	6804108.960695
3.663820	0.2041	6691554.938213
3.667220	0.204	6623736.028196
3.670622	0.2041	6702546.073689
3.674022	0.204	6911609.214635
3.677423	0.2041	6905906.259064
3.680825	0.2041	6805631.366069
3.684225	0.204	6886691.165539
3.687627	0.2041	6881575.858067
3.691027	0.204	6766236.425245
3.694428	0.2041	6848605.728871
3.697830	0.2041	6857124.149559
3.701230	0.204	6847263.603915
3.704632	0.2041	6909146.879874
3.708032	0.204	6916410.652938
3.711433	0.2041	7017723.778807
3.714835	0.2041	6998940.363747
3.718235	0.204	6777148.207779
3.721637	0.2041	6568359.328961
3.725038	0.2041	6612557.561236
3.728438	0.204	6924198.687729
3.731840	0.2041	7001633.014954
3.735240	0.204	6777192.380575
3.738642	0.2041	6797466.718083
3.742043	0.2041	7076726.567687
3.745443	0.204	7193905.696315
3.748845	0.2041	7123412.821274
3.752245	0.204	7402900.623085
3.755647	0.2041	8039882.813741
3.759048	0.2041	9266497.636286
3.762448	0.204	11184752.687271
3.765850	0.2041	13934615.060062
3.769250	0.204	17868632.196885
3.772652	0.2041	22515790.342357
3.776053	0.2041	27671792.905147
3.779453	0.204	31526001.420568
3.782855	0.2041	32525129.015537
3.786257	0.2041	32189871.463434
3.789657	0.204	30276960.880208
3.793058	0.2041	26271901.515770
3.796458	0.204	21782898.110719
3.799860	0.2041	17670548.146739
3.803262	0.2041	13997241.256872
3.806662	0.204	11094517.205072
3.810063	0.2041	9502797.695821
3.813463	0.204	8409849.368440
3.816865	0.2041	7818846.663257
3.820267	0.2041	7692606.350422
3.823667	0.204	7355797.707498
3.827068	0.2041	7389538.919107
3.830468	0.204	7415278.244985
3.833870	0.2041	7316869.431993
3.837272	0.2041	7379116.151257
3.840672	0.204	7236954.440694
3.844073	0.2041	7129636.458157
3.847473	0.204	7131280.020829
3.850875	0.2041	7062466.070753
3.854277	0.2041	7050836.702208
3.857677	0.204	7078107.641053
3.861078	0.2041	6970703.262014
3.864480	0.2041	6797973.642786
3.867880	0.204	6832723.218720
3.871282	0.2041	6899750.872203
3.874682	0.204	6982478.508810
3.878083	0.2041	7028427.080536
3.881485	0.2041	6795633.964011
3.884885	0.204	6775294.270552
3.888287	0.2041	6850447.096822
3.891687	0.204	6906114.151579
3.895088	0.2041	6949741.648472
3.898490	0.2041	6912858.687845
3.901890	0.204	7066908.110014
3.905292	0.2041	7066442.878635
3.908692	0.204	7013510.778322
3.912093	0.2041	6942640.610771
3.915495	0.2041	7002666.809804
3.918895	0.204	7011587.956929
3.922297	0.2041	6801595.547007
3.925698	0.2041	6939961.247460
3.929098	0.204	6929617.258474
3.932500	0.2041	6844574.042674
3.935900	0.204	7044603.556735
3.939302	0.2041	7001767.857416
3.942703	0.2041	6835986.377457
3.946103	0.204	6982847.759744
3.949505	0.2041	7037530.218119
3.952905	0.204	7008485.033861
3.956307	0.2041	6997747.806985
3.959708	0.2041	6957841.243329
3.963108	0.204	6963428.236257
3.966510	0.2041	6902290.792744
3.969910	0.204	6997534.095578
3.973312	0.2041	6858732.029452
3.976713	0.2041	6871132.510106
3.980113	0.204	6965113.956012
3.983515	0.2041	6922126.366856
3.986915	0.204	7195626.346276
3.990317	0.2041	7212701.947231
3.993718	0.2041	7269723.499349
3.997118	0.204	7305027.699749
4.000520	0.2041	7112710.270218
4.003922	0.2041	7072691.791423
4.007322	0.204	7122483.592710
4.010723	0.2041	7090439.109457
4.014123	0.204	7138847.683653
4.017525	0.2041	7190732.849841
4.020927	0.2041	7067143.304676
4.024327	0.204	7051977.959700
4.027728	0.2041	6999891.916514
4.031128	0.204	6983470.733052
4.034530	0.2041	7126528.875912
4.037932	0.2041	7218732.497199
4.041332	0.204	7251744.790044
4.044733	0.2041	7163874.493571
4.048133	0.204	7081408.343562
4.051535	0.2041	7162981.835482
4.054937	0.2041	7129341.658285
4.058337	0.204	7073080.994498
4.061738	0.2041	7105953.496031
4.065140	0.2041	7223738.009967
4.068540	0.204	7419047.701636
4.071942	0.2041	7422121.632137
4.075342	0.204	7293496.530189
4.078743	0.2041	7200384.420990
4.082145	0.2041	7095036.749549
4.085545	0.204	7195069.642964
4.088947	0.2041	7333160.246551
4.092347	0.204	7370590.989635
4.095748	0.2041	7321050.239197
4.099150	0.2041	7176048.027430
4.102550	0.204	7160446.952716
4.105952	0.2041	7335171.222601
4.109352	0.204	7354006.572830
4.112753	0.2041	7197733.793852
4.116155	0.2041	7203176.553121
4.119555	0.204	7332981.906770
4.122957	0.2041	7301712.665010
4.126357	0.204	7385787.867531
4.129758	0.2041	7507469.803286
4.133160	0.2041	7343586.819181
4.136560	0.204	7311926.693627
4.139962	0.2041	7316250.329486
4.143363	0.2041	7184670.347040
4.146763	0.204	7323292.638862
4.150165	0.2041	7311293.177463
4.153565	0.204	7207674.570257
4.156967	0.2041	7360440.529387
4.160368	0.2041	7312495.156502
4.163768	0.204	7270246.470691
4.167170	0.2041	7266702.536490
4.170570	0.204	7249819.192067
4.173972	0.2041	7393031.305615
4.177373	0.2041	7383793.587071
4.180773	0.204	7354611.398968
4.184175	0.2041	7443840.004008
4.187575	0.204	7433502.046789
4.190977	0.2041	7438554.809295
4.194378	0.2041	7527816.090115
4.197778	0.204	7419602.859212
4.201180	0.2041	7341850.411457
4.204582	0.2041	7412118.413537
4.207982	0.204	7551096.214921
4.211383	0.2041	7503059.048464
4.214783	0.204	7331555.825330
4.218185	0.2041	7376566.474754
4.221587	0.2041	7443203.445635
4.224987	0.204	7378023.318867
4.228388	0.2041	7339759.055423
4.231788	0.204	7572305.270333
4.235190	0.2041	7531811.249093
4.238592	0.2041	7598841.941822
4.241992	0.204	7632082.250350
4.245393	0.2041	7313465.083812
4.248793	0.204	7420998.098466
4.252195	0.2041	7308334.304229
4.255597	0.2041	7283113.527952
4.258997	0.204	7535205.571231
4.262398	0.2041	7482607.036407
