Chromatogram RI	
X:	Y:
1.44833	-0.007
1.45000	-0.004
1.45167	-0.002
1.45333	0.000
1.45500	0.004
1.45667	0.009
1.45833	0.013
1.46000	0.013
1.46167	0.011
1.46333	0.002
1.46500	-0.006
1.46667	-0.013
1.46833	-0.012
1.47000	-0.008
1.47167	-0.001
1.47333	0.003
1.47500	0.003
1.47667	0.003
1.47833	0.003
1.48000	0.005
1.48167	0.005
1.48333	0.005
1.48500	0.006
1.48667	0.000
1.48833	-0.007
1.49000	-0.008
1.49167	-0.002
1.49333	0.006
1.49500	0.010
1.49667	0.014
1.49833	0.017
1.50000	0.013
1.50167	0.003
1.50333	-0.004
1.50500	-0.007
1.50667	-0.011
1.50833	-0.014
1.51000	-0.015
1.51167	-0.014
1.51333	-0.013
1.51500	-0.010
1.51667	-0.005
1.51833	0.001
1.52000	0.009
1.52167	0.008
1.52333	-0.001
1.52500	-0.008
1.52667	-0.006
1.52833	-0.004
1.53000	-0.001
1.53167	0.003
1.53333	0.005
1.53500	0.008
1.53667	0.009
1.53833	0.008
1.54000	0.013
1.54167	0.016
1.54333	0.006
1.54500	-0.003
1.54667	-0.008
1.54833	-0.009
1.55000	-0.011
1.55167	-0.005
1.55333	0.000
1.55500	0.003
1.55667	0.009
1.55833	0.011
1.56000	0.013
1.56167	0.018
1.56333	0.013
1.56500	0.012
1.56667	0.007
1.56833	0.007
1.57000	0.007
1.57167	0.003
1.57333	-0.001
1.57500	0.004
1.57667	0.010
1.57833	0.015
1.58000	0.021
1.58167	0.019
1.58333	0.011
1.58500	0.005
1.58667	0.003
1.58833	0.003
1.59000	0.001
1.59167	0.000
1.59333	-0.005
1.59500	-0.006
1.59667	-0.003
1.59833	0.004
1.60000	0.010
1.60167	0.015
1.60333	0.017
1.60500	0.007
1.60667	-0.006
1.60833	-0.009
1.61000	-0.007
1.61167	0.000
1.61333	0.006
1.61500	0.004
1.61667	0.002
1.61833	0.001
1.62000	0.001
1.62167	0.007
1.62333	0.012
1.62500	0.010
1.62667	0.004
1.62833	-0.006
1.63000	-0.015
1.63167	-0.018
1.63333	-0.014
1.63500	-0.005
1.63667	0.000
1.63833	0.002
1.64000	0.003
1.64167	0.005
1.64333	0.008
1.64500	0.007
1.64667	0.005
1.64833	0.002
1.65000	0.000
1.65167	-0.003
