Chromatogram RI	
X:	Y:
2.33167	0.000
2.33333	0.008
2.33500	0.013
2.33667	0.020
2.33833	0.016
2.34000	0.006
2.34167	-0.004
2.34333	-0.009
2.34500	-0.009
2.34667	-0.004
2.34833	-0.001
2.35000	0.001
2.35167	0.006
2.35333	0.008
2.35500	0.010
2.35667	0.014
2.35833	0.014
2.36000	0.010
2.36167	0.006
2.36333	0.001
2.36500	-0.004
2.36667	-0.005
2.36833	-0.004
2.37000	-0.001
2.37167	0.003
2.37333	0.008
2.37500	0.010
2.37667	0.010
2.37833	0.010
2.38000	0.007
2.38167	0.010
2.38333	0.013
2.38500	0.012
2.38667	0.008
2.38833	0.004
2.39000	0.006
2.39167	0.012
2.39333	0.015
2.39500	0.019
2.39667	0.024
2.39833	0.025
2.40000	0.014
2.40167	-0.001
2.40333	-0.005
2.40500	-0.003
2.40667	0.003
2.40833	0.003
2.41000	0.003
2.41167	0.004
2.41333	0.006
2.41500	0.007
2.41667	0.012
2.41833	0.018
