Chromatogram RI	
X:	Y:
1.89333	0.022
1.89500	0.027
1.89667	0.026
1.89833	0.023
1.90000	0.015
1.90167	0.010
1.90333	0.007
1.90500	0.005
1.90667	0.008
1.90833	0.013
1.91000	0.016
1.91167	0.021
1.91333	0.025
1.91500	0.023
1.91667	0.018
1.91833	0.012
1.92000	0.010
1.92167	0.011
1.92333	0.015
1.92500	0.015
1.92667	0.014
1.92833	0.013
1.93000	0.016
1.93167	0.021
1.93333	0.026
1.93500	0.026
1.93667	0.018
1.93833	0.007
1.94000	-0.002
1.94167	0.001
1.94333	0.007
1.94500	0.014
1.94667	0.018
1.94833	0.018
1.95000	0.018
1.95167	0.016
1.95333	0.019
1.95500	0.023
1.95667	0.023
1.95833	0.018
1.96000	0.013
1.96167	0.006
1.96333	0.002
1.96500	0.004
1.96667	0.008
1.96833	0.015
1.97000	0.017
1.97167	0.016
1.97333	0.014
1.97500	0.017
1.97667	0.017
1.97833	0.016
1.98000	0.014
1.98167	0.012
1.98333	0.013
1.98500	0.008
1.98667	0.005
1.98833	0.008
1.99000	0.013
1.99167	0.019
1.99333	0.023
1.99500	0.024
1.99667	0.028
1.99833	0.021
2.00000	0.012
2.00167	0.009
2.00333	0.008
2.00500	0.006
2.00667	0.006
2.00833	0.003
2.01000	0.003
2.01167	0.005
2.01333	0.012
2.01500	0.022
2.01667	0.027
2.01833	0.021
2.02000	0.015
2.02167	0.007
2.02333	0.006
2.02500	0.008
2.02667	0.010
2.02833	0.013
2.03000	0.011
2.03167	0.007
2.03333	0.007
2.03500	0.010
2.03667	0.021
2.03833	0.023
2.04000	0.019
2.04167	0.016
2.04333	0.012
2.04500	0.007
2.04667	0.008
2.04833	0.010
2.05000	0.013
2.05167	0.019
2.05333	0.026
2.05500	0.028
2.05667	0.027
2.05833	0.027
2.06000	0.024
2.06167	0.022
2.06333	0.015
2.06500	0.010
2.06667	0.005
2.06833	0.005
2.07000	0.000
2.07167	0.003
2.07333	0.010
2.07500	0.019
2.07667	0.026
2.07833	0.028
2.08000	0.022
2.08167	0.016
2.08333	0.013
2.08500	0.013
2.08667	0.014
2.08833	0.016
2.09000	0.017
2.09167	0.013
2.09333	0.011
2.09500	0.013
2.09667	0.017
2.09833	0.020
2.10000	0.019
2.10167	0.012
2.10333	0.002
2.10500	-0.004
2.10667	-0.006
2.10833	-0.002
2.11000	0.000
2.11167	0.002
2.11333	0.010
2.11500	0.012
2.11667	0.015
2.11833	0.020
2.12000	0.022
2.12167	0.017
2.12333	0.012
2.12500	0.009
2.12667	0.005
2.12833	0.001
2.13000	0.004
2.13167	0.011
2.13333	0.017
2.13500	0.021
2.13667	0.023
2.13833	0.023
2.14000	0.023
2.14167	0.021
2.14333	0.019
2.14500	0.016
2.14667	0.016
2.14833	0.012
2.15000	0.007
2.15167	0.009
2.15333	0.010
2.15500	0.014
2.15667	0.020
2.15833	0.027
2.16000	0.026
2.16167	0.016
2.16333	0.001
2.16500	-0.008
2.16667	-0.007
2.16833	-0.003
2.17000	0.003
2.17167	0.007
2.17333	0.009
2.17500	0.009
2.17667	0.012
2.17833	0.014
2.18000	0.019
2.18167	0.021
2.18333	0.017
2.18500	0.010
2.18667	-0.001
2.18833	-0.004
2.19000	-0.002
2.19167	0.001
2.19333	0.006
2.19500	0.012
2.19667	0.015
2.19833	0.014
2.20000	0.016
2.20167	0.020
2.20333	0.019
2.20500	0.014
2.20667	0.009
2.20833	0.004
2.21000	-0.002
2.21167	-0.002
2.21333	0.000
2.21500	0.005
2.21667	0.013
2.21833	0.018
2.22000	0.019
2.22167	0.018
2.22333	0.010
2.22500	0.001
2.22667	0.000
2.22833	0.002
2.23000	0.003
2.23167	-0.002
2.23333	-0.005
2.23500	-0.003
2.23667	0.001
2.23833	0.004
2.24000	0.007
2.24167	0.015
2.24333	0.014
2.24500	0.002
2.24667	-0.005
2.24833	-0.002
2.25000	0.004
2.25167	0.010
2.25333	0.012
2.25500	0.010
2.25667	0.007
2.25833	0.008
2.26000	0.015
2.26167	0.026
2.26333	0.029
2.26500	0.022
2.26667	0.013
2.26833	0.004
2.27000	-0.002
2.27167	-0.004
2.27333	-0.003
2.27500	0.002
2.27667	0.007
2.27833	0.011
2.28000	0.013
2.28167	0.016
2.28333	0.021
2.28500	0.014
2.28667	0.012
2.28833	0.012
2.29000	0.011
2.29167	0.006
2.29333	0.000
2.29500	0.001
2.29667	0.008
2.29833	0.011
2.30000	0.013
2.30167	0.019
2.30333	0.021
