Chromatogram RI	
X:	Y:
1.65667	0.103
1.65833	0.107
1.66000	0.110
1.66167	0.111
1.66333	0.113
1.66500	0.119
1.66667	0.116
1.66833	0.113
1.67000	0.104
1.67167	0.096
1.67333	0.092
1.67500	0.093
1.67667	0.095
1.67833	0.101
1.68000	0.107
1.68167	0.114
1.68333	0.113
1.68500	0.109
1.68667	0.106
1.68833	0.106
1.69000	0.107
1.69167	0.109
1.69333	0.108
1.69500	0.105
1.69667	0.107
1.69833	0.107
1.70000	0.111
1.70167	0.120
1.70333	0.127
1.70500	0.128
1.70667	0.127
1.70833	0.116
1.71000	0.110
1.71167	0.110
1.71333	0.111
1.71500	0.113
1.71667	0.113
1.71833	0.114
1.72000	0.113
1.72167	0.116
1.72333	0.118
1.72500	0.125
1.72667	0.127
1.72833	0.121
1.73000	0.112
1.73167	0.106
1.73333	0.101
1.73500	0.100
1.73667	0.103
1.73833	0.109
1.74000	0.109
1.74167	0.109
1.74333	0.107
1.74500	0.107
1.74667	0.110
1.74833	0.110
1.75000	0.107
1.75167	0.103
1.75333	0.098
1.75500	0.096
1.75667	0.095
1.75833	0.099
1.76000	0.106
1.76167	0.111
1.76333	0.118
1.76500	0.121
1.76667	0.124
1.76833	0.121
1.77000	0.114
1.77167	0.113
1.77333	0.111
1.77500	0.108
1.77667	0.107
1.77833	0.105
1.78000	0.102
1.78167	0.107
1.78333	0.114
1.78500	0.120
1.78667	0.125
1.78833	0.127
1.79000	0.121
1.79167	0.112
1.79333	0.109
1.79500	0.109
1.79667	0.112
1.79833	0.116
1.80000	0.114
1.80167	0.114
1.80333	0.115
1.80500	0.120
1.80667	0.129
1.80833	0.134
1.81000	0.129
1.81167	0.117
1.81333	0.107
1.81500	0.102
1.81667	0.103
1.81833	0.110
1.82000	0.112
1.82167	0.113
1.82333	0.116
1.82500	0.119
1.82667	0.123
1.82833	0.128
1.83000	0.127
1.83167	0.123
1.83333	0.118
1.83500	0.117
1.83667	0.118
1.83833	0.118
1.84000	0.118
1.84167	0.122
1.84333	0.130
1.84500	0.136
1.84667	0.140
1.84833	0.141
1.85000	0.137
1.85167	0.130
1.85333	0.127
1.85500	0.126
1.85667	0.128
1.85833	0.124
1.86000	0.117
1.86167	0.119
1.86333	0.123
1.86500	0.129
1.86667	0.133
1.86833	0.138
1.87000	0.135
1.87167	0.126
1.87333	0.121
1.87500	0.121
1.87667	0.123
1.87833	0.127
1.88000	0.128
1.88167	0.130
1.88333	0.129
1.88500	0.125
1.88667	0.125
1.88833	0.132
1.89000	0.141
1.89167	0.138
1.89333	0.137
1.89500	0.134
1.89667	0.125
1.89833	0.118
1.90000	0.115
1.90167	0.120
1.90333	0.128
1.90500	0.132
1.90667	0.131
1.90833	0.133
1.91000	0.141
1.91167	0.140
1.91333	0.138
1.91500	0.137
1.91667	0.133
1.91833	0.128
1.92000	0.130
1.92167	0.129
1.92333	0.129
1.92500	0.133
1.92667	0.137
1.92833	0.142
1.93000	0.147
1.93167	0.143
1.93333	0.135
1.93500	0.128
1.93667	0.124
1.93833	0.127
1.94000	0.127
1.94167	0.122
1.94333	0.120
1.94500	0.119
1.94667	0.122
1.94833	0.133
1.95000	0.145
1.95167	0.147
1.95333	0.142
1.95500	0.133
1.95667	0.125
1.95833	0.124
1.96000	0.128
1.96167	0.129
1.96333	0.132
1.96500	0.127
1.96667	0.127
1.96833	0.128
1.97000	0.131
1.97167	0.137
1.97333	0.135
1.97500	0.131
1.97667	0.127
1.97833	0.122
1.98000	0.121
1.98167	0.123
1.98333	0.130
1.98500	0.134
1.98667	0.141
1.98833	0.144
1.99000	0.142
1.99167	0.141
1.99333	0.134
1.99500	0.129
1.99667	0.125
1.99833	0.126
2.00000	0.126
2.00167	0.125
2.00333	0.124
2.00500	0.129
2.00667	0.139
2.00833	0.146
2.01000	0.151
2.01167	0.155
2.01333	0.147
2.01500	0.135
2.01667	0.132
2.01833	0.131
2.02000	0.134
2.02167	0.137
2.02333	0.137
2.02500	0.135
2.02667	0.134
2.02833	0.134
2.03000	0.136
2.03167	0.144
2.03333	0.147
2.03500	0.138
2.03667	0.132
2.03833	0.128
2.04000	0.123
2.04167	0.124
2.04333	0.127
2.04500	0.129
2.04667	0.136
2.04833	0.139
2.05000	0.137
2.05167	0.139
2.05333	0.144
2.05500	0.143
2.05667	0.141
2.05833	0.139
2.06000	0.135
2.06167	0.132
2.06333	0.133
2.06500	0.136
2.06667	0.135
2.06833	0.139
2.07000	0.139
2.07167	0.138
2.07333	0.140
2.07500	0.136
2.07667	0.130
2.07833	0.127
2.08000	0.124
2.08167	0.122
2.08333	0.123
2.08500	0.126
2.08667	0.131
2.08833	0.137
2.09000	0.142
2.09167	0.146
2.09333	0.151
2.09500	0.150
2.09667	0.142
2.09833	0.134
2.10000	0.132
2.10167	0.130
2.10333	0.132
2.10500	0.132
2.10667	0.130
2.10833	0.128
2.11000	0.129
2.11167	0.132
2.11333	0.135
2.11500	0.140
2.11667	0.134
2.11833	0.129
2.12000	0.127
2.12167	0.124
2.12333	0.122
2.12500	0.128
2.12667	0.135
2.12833	0.140
2.13000	0.140
2.13167	0.141
2.13333	0.140
2.13500	0.147
2.13667	0.150
2.13833	0.141
2.14000	0.138
2.14167	0.137
2.14333	0.135
2.14500	0.132
2.14667	0.130
2.14833	0.135
2.15000	0.140
2.15167	0.142
2.15333	0.148
2.15500	0.149
2.15667	0.147
2.15833	0.138
2.16000	0.132
2.16167	0.131
2.16333	0.133
2.16500	0.136
2.16667	0.133
2.16833	0.131
2.17000	0.131
2.17167	0.139
2.17333	0.144
2.17500	0.150
2.17667	0.148
2.17833	0.139
2.18000	0.131
2.18167	0.131
2.18333	0.133
2.18500	0.136
2.18667	0.141
2.18833	0.146
2.19000	0.147
2.19167	0.144
2.19333	0.145
2.19500	0.152
2.19667	0.157
2.19833	0.155
2.20000	0.149
2.20167	0.144
2.20333	0.136
2.20500	0.132
2.20667	0.134
2.20833	0.140
2.21000	0.145
2.21167	0.144
2.21333	0.142
2.21500	0.143
2.21667	0.145
2.21833	0.141
2.22000	0.141
2.22167	0.141
2.22333	0.142
2.22500	0.140
2.22667	0.136
2.22833	0.135
2.23000	0.136
2.23167	0.145
2.23333	0.149
2.23500	0.151
2.23667	0.154
2.23833	0.148
2.24000	0.139
2.24167	0.132
2.24333	0.131
2.24500	0.135
2.24667	0.140
2.24833	0.137
2.25000	0.135
2.25167	0.137
2.25333	0.142
2.25500	0.150
2.25667	0.156
2.25833	0.158
2.26000	0.154
2.26167	0.145
2.26333	0.143
2.26500	0.144
2.26667	0.146
2.26833	0.149
2.27000	0.148
2.27167	0.145
2.27333	0.142
2.27500	0.144
2.27667	0.148
2.27833	0.152
2.28000	0.149
2.28167	0.146
2.28333	0.145
2.28500	0.143
2.28667	0.141
2.28833	0.137
2.29000	0.138
2.29167	0.140
2.29333	0.147
2.29500	0.154
2.29667	0.149
2.29833	0.143
2.30000	0.140
2.30167	0.136
2.30333	0.134
2.30500	0.135
2.30667	0.135
2.30833	0.135
2.31000	0.135
2.31167	0.140
2.31333	0.146
2.31500	0.153
2.31667	0.157
2.31833	0.164
2.32000	0.161
2.32167	0.153
2.32333	0.146
2.32500	0.141
2.32667	0.139
2.32833	0.139
2.33000	0.138
2.33167	0.138
2.33333	0.138
2.33500	0.138
2.33667	0.143
2.33833	0.153
2.34000	0.158
2.34167	0.153
2.34333	0.147
2.34500	0.142
2.34667	0.139
2.34833	0.140
2.35000	0.144
2.35167	0.149
2.35333	0.151
2.35500	0.149
2.35667	0.148
2.35833	0.152
2.36000	0.157
2.36167	0.158
2.36333	0.154
2.36500	0.150
2.36667	0.146
2.36833	0.141
2.37000	0.137
2.37167	0.142
2.37333	0.147
2.37500	0.153
2.37667	0.156
2.37833	0.157
2.38000	0.156
2.38167	0.154
2.38333	0.149
2.38500	0.149
2.38667	0.151
2.38833	0.151
2.39000	0.148
2.39167	0.145
2.39333	0.142
2.39500	0.144
2.39667	0.153
2.39833	0.162
2.40000	0.169
2.40167	0.166
2.40333	0.154
2.40500	0.145
2.40667	0.143
2.40833	0.144
2.41000	0.145
2.41167	0.147
2.41333	0.150
2.41500	0.151
2.41667	0.153
2.41833	0.159
2.42000	0.161
2.42167	0.162
2.42333	0.154
2.42500	0.145
2.42667	0.139
2.42833	0.135
2.43000	0.138
2.43167	0.143
2.43333	0.147
2.43500	0.153
2.43667	0.156
2.43833	0.152
2.44000	0.148
2.44167	0.153
2.44333	0.155
2.44500	0.153
2.44667	0.147
2.44833	0.139
2.45000	0.135
2.45167	0.130
2.45333	0.133
2.45500	0.139
2.45667	0.142
2.45833	0.150
2.46000	0.153
2.46167	0.155
2.46333	0.154
2.46500	0.146
2.46667	0.144
2.46833	0.145
2.47000	0.146
2.47167	0.145
2.47333	0.146
2.47500	0.143
2.47667	0.143
2.47833	0.151
2.48000	0.158
2.48167	0.165
2.48333	0.167
2.48500	0.160
2.48667	0.148
2.48833	0.146
2.49000	0.148
2.49167	0.149
2.49333	0.153
2.49500	0.157
2.49667	0.154
2.49833	0.153
2.50000	0.154
2.50167	0.161
2.50333	0.167
2.50500	0.161
2.50667	0.155
2.50833	0.150
2.51000	0.145
2.51167	0.142
2.51333	0.144
2.51500	0.147
2.51667	0.150
2.51833	0.158
2.52000	0.160
2.52167	0.162
2.52333	0.170
2.52500	0.174
2.52667	0.172
2.52833	0.170
2.53000	0.166
2.53167	0.162
2.53333	0.158
2.53500	0.157
2.53667	0.159
2.53833	0.162
2.54000	0.164
2.54167	0.168
2.54333	0.174
2.54500	0.173
2.54667	0.167
2.54833	0.163
2.55000	0.159
2.55167	0.158
2.55333	0.160
2.55500	0.160
2.55667	0.159
2.55833	0.160
2.56000	0.164
2.56167	0.172
