Chromatogram RI	
X:	Y:
0.53167	-0.017
0.53333	-0.012
0.53500	-0.004
0.53667	-0.001
0.53833	0.004
0.54000	0.002
0.54167	-0.005
0.54333	-0.014
0.54500	-0.020
0.54667	-0.020
0.54833	-0.018
0.55000	-0.017
0.55167	-0.018
0.55333	-0.019
0.55500	-0.018
0.55667	-0.018
0.55833	-0.013
0.56000	-0.005
0.56167	-0.008
0.56333	-0.010
0.56500	-0.016
0.56667	-0.021
0.56833	-0.023
0.57000	-0.024
0.57167	-0.023
0.57333	-0.015
0.57500	-0.007
0.57667	-0.002
0.57833	-0.003
0.58000	-0.002
0.58167	-0.004
0.58333	-0.007
0.58500	-0.009
0.58667	-0.012
0.58833	-0.012
0.59000	-0.013
0.59167	-0.018
0.59333	-0.020
0.59500	-0.016
0.59667	-0.008
0.59833	-0.003
0.60000	-0.004
0.60167	-0.011
0.60333	-0.022
0.60500	-0.027
0.60667	-0.024
0.60833	-0.018
0.61000	-0.014
0.61167	-0.011
0.61333	-0.013
0.61500	-0.016
0.61667	-0.014
0.61833	-0.005
0.62000	0.002
0.62167	0.007
0.62333	0.001
0.62500	-0.011
0.62667	-0.021
0.62833	-0.022
0.63000	-0.017
0.63167	-0.010
0.63333	-0.004
0.63500	-0.004
0.63667	-0.006
0.63833	-0.010
0.64000	-0.008
0.64167	-0.001
0.64333	-0.002
0.64500	-0.007
0.64667	-0.011
0.64833	-0.016
0.65000	-0.023
0.65167	-0.025
0.65333	-0.022
0.65500	-0.018
0.65667	-0.015
0.65833	-0.013
0.66000	-0.013
0.66167	-0.010
0.66333	-0.012
0.66500	-0.016
0.66667	-0.018
0.66833	-0.018
0.67000	-0.020
0.67167	-0.024
0.67333	-0.030
0.67500	-0.030
0.67667	-0.025
0.67833	-0.017
0.68000	-0.009
0.68167	-0.004
0.68333	-0.005
0.68500	-0.014
0.68667	-0.019
0.68833	-0.021
0.69000	-0.018
0.69167	-0.016
0.69333	-0.018
0.69500	-0.024
0.69667	-0.028
0.69833	-0.026
0.70000	-0.023
0.70167	-0.018
0.70333	-0.010
0.70500	-0.011
0.70667	-0.017
0.70833	-0.021
0.71000	-0.027
0.71167	-0.027
0.71333	-0.024
0.71500	-0.018
0.71667	-0.012
0.71833	-0.012
0.72000	-0.009
0.72167	-0.005
0.72333	0.002
0.72500	0.000
0.72667	-0.001
0.72833	-0.007
0.73000	-0.013
0.73167	-0.016
0.73333	-0.019
0.73500	-0.019
0.73667	-0.016
0.73833	-0.011
0.74000	-0.006
0.74167	-0.003
0.74333	-0.002
0.74500	-0.002
0.74667	-0.007
0.74833	-0.012
0.75000	-0.012
0.75167	-0.011
0.75333	-0.015
0.75500	-0.014
0.75667	-0.015
0.75833	-0.016
0.76000	-0.009
0.76167	-0.001
0.76333	-0.001
0.76500	-0.003
0.76667	-0.011
0.76833	-0.020
0.77000	-0.022
0.77167	-0.021
0.77333	-0.016
0.77500	-0.018
0.77667	-0.020
0.77833	-0.019
0.78000	-0.019
0.78167	-0.013
0.78333	-0.003
0.78500	0.003
0.78667	0.003
0.78833	-0.001
0.79000	-0.008
0.79167	-0.014
0.79333	-0.015
0.79500	-0.011
0.79667	-0.007
0.79833	-0.006
0.80000	-0.004
