Chromatogram RI	
X:	Y:
1.21167	-0.048
1.21333	-0.050
1.21500	-0.051
1.21667	-0.049
1.21833	-0.047
1.22000	-0.043
1.22167	-0.043
1.22333	-0.041
1.22500	-0.045
1.22667	-0.043
1.22833	-0.042
1.23000	-0.043
1.23167	-0.043
1.23333	-0.042
1.23500	-0.047
1.23667	-0.051
1.23833	-0.052
1.24000	-0.048
1.24167	-0.040
1.24333	-0.034
1.24500	-0.031
1.24667	-0.034
1.24833	-0.039
1.25000	-0.045
1.25167	-0.048
1.25333	-0.050
1.25500	-0.048
1.25667	-0.050
1.25833	-0.053
1.26000	-0.055
1.26167	-0.052
1.26333	-0.045
1.26500	-0.041
1.26667	-0.041
1.26833	-0.045
1.27000	-0.050
1.27167	-0.057
1.27333	-0.062
1.27500	-0.062
1.27667	-0.056
1.27833	-0.054
1.28000	-0.050
1.28167	-0.048
1.28333	-0.052
1.28500	-0.050
1.28667	-0.044
1.28833	-0.037
1.29000	-0.037
1.29167	-0.040
1.29333	-0.043
1.29500	-0.049
1.29667	-0.055
1.29833	-0.052
1.30000	-0.045
1.30167	-0.042
1.30333	-0.040
1.30500	-0.041
1.30667	-0.037
1.30833	-0.037
1.31000	-0.040
1.31167	-0.041
1.31333	-0.047
1.31500	-0.053
1.31667	-0.057
1.31833	-0.061
1.32000	-0.060
1.32167	-0.055
1.32333	-0.050
1.32500	-0.042
1.32667	-0.040
1.32833	-0.038
1.33000	-0.038
1.33167	-0.047
1.33333	-0.054
1.33500	-0.056
1.33667	-0.057
1.33833	-0.055
1.34000	-0.053
1.34167	-0.057
1.34333	-0.056
1.34500	-0.048
1.34667	-0.040
1.34833	-0.033
1.35000	-0.029
1.35167	-0.034
1.35333	-0.042
1.35500	-0.049
1.35667	-0.049
1.35833	-0.051
1.36000	-0.052
1.36167	-0.051
1.36333	-0.055
1.36500	-0.058
1.36667	-0.062
1.36833	-0.057
1.37000	-0.049
1.37167	-0.045
1.37333	-0.048
1.37500	-0.056
1.37667	-0.064
1.37833	-0.066
1.38000	-0.065
1.38167	-0.064
1.38333	-0.061
1.38500	-0.060
1.38667	-0.055
1.38833	-0.052
1.39000	-0.048
1.39167	-0.048
1.39333	-0.052
1.39500	-0.053
1.39667	-0.055
1.39833	-0.059
1.40000	-0.066
1.40167	-0.071
1.40333	-0.067
1.40500	-0.063
1.40667	-0.056
1.40833	-0.049
1.41000	-0.045
1.41167	-0.050
1.41333	-0.061
1.41500	-0.066
1.41667	-0.070
1.41833	-0.072
1.42000	-0.071
1.42167	-0.071
1.42333	-0.067
1.42500	-0.066
1.42667	-0.066
1.42833	-0.060
1.43000	-0.048
1.43167	-0.042
1.43333	-0.049
1.43500	-0.056
1.43667	-0.062
1.43833	-0.068
1.44000	-0.069
1.44167	-0.070
1.44333	-0.065
1.44500	-0.063
1.44667	-0.061
1.44833	-0.058
1.45000	-0.057
1.45167	-0.052
1.45333	-0.052
1.45500	-0.055
1.45667	-0.058
1.45833	-0.064
1.46000	-0.069
1.46167	-0.067
1.46333	-0.062
1.46500	-0.056
1.46667	-0.049
1.46833	-0.042
1.47000	-0.041
1.47167	-0.045
1.47333	-0.048
1.47500	-0.055
1.47667	-0.059
1.47833	-0.061
1.48000	-0.068
1.48167	-0.071
1.48333	-0.075
1.48500	-0.073
1.48667	-0.070
1.48833	-0.064
1.49000	-0.058
1.49167	-0.052
1.49333	-0.050
1.49500	-0.056
1.49667	-0.067
1.49833	-0.069
1.50000	-0.069
1.50167	-0.068
1.50333	-0.064
1.50500	-0.064
1.50667	-0.066
1.50833	-0.066
1.51000	-0.063
1.51167	-0.056
1.51333	-0.049
1.51500	-0.048
1.51667	-0.053
1.51833	-0.060
1.52000	-0.067
1.52167	-0.069
1.52333	-0.071
1.52500	-0.064
1.52667	-0.061
1.52833	-0.059
1.53000	-0.060
1.53167	-0.063
1.53333	-0.058
1.53500	-0.055
1.53667	-0.059
1.53833	-0.067
1.54000	-0.071
1.54167	-0.076
1.54333	-0.078
1.54500	-0.076
1.54667	-0.075
1.54833	-0.069
1.55000	-0.059
1.55167	-0.053
1.55333	-0.048
1.55500	-0.051
1.55667	-0.057
1.55833	-0.059
1.56000	-0.058
1.56167	-0.057
1.56333	-0.059
1.56500	-0.066
1.56667	-0.070
1.56833	-0.070
1.57000	-0.062
1.57167	-0.057
1.57333	-0.050
1.57500	-0.044
1.57667	-0.050
